"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Micro","log2fold_change","Auc"
"478","ENSG00000251442","hurdle",8.04260187165679e-209,-2.787703,-1.220381,1.567322,0.597
"103","ENSG00000105329","hurdle",5.54765064198282e-98,-2.0249298,-0.8599592,1.1649706,0.597
"33","ENSG00000066336","hurdle",3.23326643845909e-128,-2.523537,-1.282595,1.240942,0.597
"83","ENSG00000101347","hurdle",2.66698100329623e-65,-1.3934305,-0.5439639,0.8494666,0.596
"313","ENSG00000162711","hurdle",6.61875749717985e-170,-2.85272,-1.396593,1.456127,0.595
"71","ENSG00000100280","hurdle",9.8599501072146e-49,-0.3973955,0.1358642,0.5332597,0.595
"38","ENSG00000071246","hurdle",7.32119925091378e-62,-1.1756418,-0.3397219,0.8359199,0.595
"305","ENSG00000160255","hurdle",9.91475061092215e-254,-3.147235,-1.573027,1.574208,0.594
"66","ENSG00000095303","hurdle",1.65842816337001e-287,-3.200164,-1.510075,1.690089,0.594
"153","ENSG00000117676","hurdle",5.22682565331382e-127,-2.618073,-1.343033,1.27504,0.592
"97","ENSG00000104870","hurdle",3.81180052973224e-201,-3.017392,-1.50495,1.512442,0.592
"60","ENSG00000089820","hurdle",6.14994851612406e-151,-2.820403,-1.454686,1.365717,0.591
"8","ENSG00000011600","hurdle",4.37458651732358e-300,-3.234908,-1.602825,1.632083,0.591
"187","ENSG00000127084","hurdle",3.41081259730058e-200,-3.031088,-1.467089,1.563999,0.59
"130","ENSG00000111145","hurdle",5.49312574386228e-77,-1.8634581,-0.9098787,0.9535794,0.59
"341","ENSG00000167693","hurdle",1.48519755760769e-65,-1.2796,-0.5947729,0.6848271,0.589
"232","ENSG00000136869","hurdle",1.18694980547757e-124,-2.541649,-1.322604,1.219045,0.588
"155","ENSG00000118707","hurdle",1.89000673355646e-228,-3.137017,-1.591918,1.545099,0.588
"61","ENSG00000090104","hurdle",0,-3.288645,-1.166797,2.121848,0.587
"450","ENSG00000204592","hurdle",4.31223093564092e-127,-2.123269,-1.368401,0.754868,0.586
"363","ENSG00000171115","hurdle",7.77095058813401e-234,-3.137712,-1.502395,1.635317,0.586
"296","ENSG00000157303","hurdle",0,-3.290703,-1.687365,1.603338,0.586
"151","ENSG00000116815","hurdle",9.7049012039449e-108,-2.475932,-1.197468,1.278464,0.586
"39","ENSG00000072786","hurdle",5.19202654233328e-59,-1.4846358,-0.7109194,0.7737164,0.586
"402","ENSG00000180573","hurdle",1.62190617395621e-104,-2.1198346,-0.6236388,1.4961958,0.585
"383","ENSG00000173436","hurdle",1.55819583914729e-42,-0.1216593,0.5592633,0.6809226,0.585
"128","ENSG00000110876","hurdle",6.01184440891511e-266,-3.220125,-1.638852,1.581273,0.585
"122","ENSG00000109861","hurdle",2.87388036294741e-91,-2.320298,-1.140733,1.179565,0.584
"48","ENSG00000079263","hurdle",7.59119859463218e-84,-2.145908,-1.020693,1.125215,0.584
"475","ENSG00000242574","hurdle",6.62343474080718e-214,-3.119995,-1.602825,1.51717,0.583
"323","ENSG00000163932","hurdle",1.79614792319339e-93,-2.426874,-1.320352,1.106522,0.583
"219","ENSG00000135077","hurdle",1.3335209755859e-46,-1.0585364,-0.4412872,0.6172492,0.583
"28","ENSG00000057704","hurdle",2.27315411381588e-59,-1.208577,-0.6111969,0.5973801,0.583
"417","ENSG00000184988","hurdle",1.3266228623603e-150,-2.916233,-1.562342,1.353891,0.582
"225","ENSG00000136161","hurdle",7.65534664024515e-58,-1.724412,-0.884703,0.839709,0.582
"451","ENSG00000205336","hurdle",3.03645828244771e-56,-1.6621481,-0.9031221,0.759026,0.581
"401","ENSG00000180448","hurdle",6.06252909790075e-189,-3.114744,-1.734565,1.380179,0.58
"86","ENSG00000101974","hurdle",8.05109434099526e-77,-1.799888,-0.9863676,0.8135204,0.58
"411","ENSG00000183549","hurdle",4.97925225835862e-260,-3.249343,-1.808392,1.440951,0.579
"319","ENSG00000163563","hurdle",3.95768233720643e-266,-3.253853,-1.780262,1.473591,0.579
"253","ENSG00000139832","hurdle",1.89087668695113e-213,-3.127101,-1.309144,1.817957,0.579
"197","ENSG00000129675","hurdle",1.23564619514258e-46,-1.1789136,-0.5745025,0.6044111,0.579
"13","ENSG00000023892","hurdle",4.03643056402766e-119,-2.797911,-1.546462,1.251449,0.579
"485","ENSG00000261371","hurdle",5.74002261177109e-78,-2.165245,-1.214096,0.951149,0.578
"461","ENSG00000223865","hurdle",2.84214373472413e-120,-2.766069,-1.462115,1.303954,0.578
"403","ENSG00000181381","hurdle",1.38414038966089e-80,-2.294647,-1.224587,1.07006,0.578
"467","ENSG00000228789","hurdle",3.65608577922522e-321,-3.300518,-1.75571,1.544808,0.577
"458","ENSG00000213366","hurdle",1.34938732273608e-112,-2.806718,-1.638852,1.167866,0.577
"349","ENSG00000168961","hurdle",4.06566856037183e-190,-3.139565,-1.75571,1.383855,0.577
"327","ENSG00000164733","hurdle",1.65963525501986e-30,0.3752056,0.9644673,0.5892617,0.577
"101","ENSG00000105122","hurdle",5.95560782081596e-293,-3.28659,-1.814718,1.471872,0.577
"4","ENSG00000010327","hurdle",1.36957939876768e-245,-3.237386,-1.72858,1.508806,0.577
"223","ENSG00000135842","hurdle",1.26603368309174e-155,-2.912861,-1.09767,1.815191,0.576
"340","ENSG00000167613","hurdle",3.03138466801541e-195,-3.157291,-1.78336,1.373931,0.575
"214","ENSG00000134207","hurdle",1.44879820069108e-77,-2.034489,-1.152704,0.881785,0.575
"69","ENSG00000099954","hurdle",3.2890815861297e-43,-0.9829194,-0.4709556,0.5119638,0.575
"373","ENSG00000171940","hurdle",3.05155897947498e-128,-2.934617,-1.672927,1.26169,0.574
"144","ENSG00000115318","hurdle",2.42437104292889e-91,-2.627795,-1.477089,1.150706,0.574
"135","ENSG00000112149","hurdle",4.10666903381633e-152,-1.7674657,-0.1329061,1.6345596,0.573
"81","ENSG00000101265","hurdle",1.28924712663033e-51,-1.8385959,-0.9953218,0.8432741,0.573
"288","ENSG00000154274","hurdle",7.221588462773e-78,-2.340673,-1.315858,1.024815,0.572
"244","ENSG00000138135","hurdle",5.27908353823673e-200,-3.15964,-1.510075,1.649565,0.572
"241","ENSG00000137959","hurdle",1.17979043836804e-116,-2.676909,-1.331648,1.345261,0.572
